Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of Ownership,Industry,Sector,Revenue,Competitors
Product Manager,$135000 - $149000,Analyze business processes and provide solutions,3.6,Business Gurus,"Dallas, TX","Dallas, TX","1,000-5,000",1972,Public,Marketing,Professional Services,$400M,"ConsultMaster, BizExperts"
Financial Analyst,$147000 - $86000,Lead and manage projects to successful completion,4.5,Project Leads,"Denver, CO","Denver, CO","500-1,000",1976,Private,Retail,Services,$300M,"TeamPro, ProjectSolutions"
Data Scientist,$99000 - $179000,Biology expert to teach students,3.5,bio,"Miami, FL","Miami, FL",200-500,2004,Private,Health,Services,$15M,"Chaithanya,narayana"
Product Manager,$159000 - $160000,Oversee product development from ideation to launch,3.6,Global Tech,"Seattle, WA","San Jose, CA","5,000-10,000",1997,Public,Technology,Consumer Goods,$1B+,"InnovationHub, MarketPro"
Marketing Manager,$138000 - $138000,Analyze business processes and provide solutions,4.4,Business Gurus,"Dallas, TX","Dallas, TX","1,000-5,000",1986,Public,Health,Professional Services,$400M,"ConsultMaster, BizExperts"
Marketing Manager,$74000 - $84000,Analyze and interpret complex data using ML techniques,4.3,Tech Innovators,"New York, NY","San Francisco, CA","1,000-5,000",1989,Private,Retail,IT,$500M,"DataWorld, Insight Global"
UX Designer,$62000 - $213000,Conduct financial analysis to support decision making,5.0,Finance Pros,"Boston, MA","Boston, MA","1,000-5,000",2003,Public,Retail,Financial,$500M,"MoneyWorks, CapitalInsights"
UX Designer,$87000 - $135000,Analyze business processes and provide solutions,4.5,Business Gurus,"Dallas, TX","Dallas, TX","1,000-5,000",2008,Public,Software,Professional Services,$400M,"ConsultMaster, BizExperts"
Software Engineer,$124000 - $244000,Manage human resources and employee relations,3.9,People Solutions,"Miami, FL","Miami, FL",200-500,1974,Private,Technology,Services,$150M,"Workplace Solutions, HR Hub"
Data Analyst,$128000 - $130000,Conduct financial analysis to support decision making,4.7,Finance Pros,"Boston, MA","Boston, MA","1,000-5,000",1986,Public,Finance,Financial,$500M,"MoneyWorks, CapitalInsights"
Data Scientist,$144000 - $80000,Prepare and manage financial records and reports,4.0,Finance Corp,"Atlanta, GA","Atlanta, GA",200-500,1996,Public,Marketing,Financial,$100M,"Accounting Solutions, TaxPro"
Software Engineer,$159000 - $81000,Develop and maintain software systems,4.5,Code Masters,"Austin, TX","Austin, TX","500-1,000",1983,Public,Consulting,Technology,$300M,"DevSoft, CodeTech"
Product Manager,$131000 - $211000,Conduct financial analysis to support decision making,3.3,Finance Pros,"Boston, MA","Boston, MA","1,000-5,000",2001,Public,Retail,Financial,$500M,"MoneyWorks, CapitalInsights"
UX Designer,$88000 - $230000,Lead and manage projects to successful completion,4.2,Project Leads,"Denver, CO","Denver, CO","500-1,000",1992,Private,Technology,Services,$300M,"TeamPro, ProjectSolutions"
Data Analyst,$168000 - $91000,Develop and maintain software systems,4.5,Code Masters,"Austin, TX","Austin, TX","500-1,000",1990,Public,Retail,Technology,$300M,"DevSoft, CodeTech"
Software Engineer,$132000 - $139000,Conduct financial analysis to support decision making,4.0,Finance Pros,"Boston, MA","Boston, MA","1,000-5,000",1973,Public,Marketing,Financial,$500M,"MoneyWorks, CapitalInsights"
Sales Manager,$161000 - $109000,Design user interfaces and improve user experiences,4.0,Creative Minds,"Los Angeles, CA","Los Angeles, CA","500-1,000",1997,Private,Finance,Creative,$250M,"UserFlow, ExperienceHub"
Operations Manager,$181000 - $119000,Lead and manage projects to successful completion,3.9,Project Leads,"Denver, CO","Denver, CO","500-1,000",1983,Private,Education,Services,$300M,"TeamPro, ProjectSolutions"
Operations Manager,$163000 - $128000,Manage human resources and employee relations,3.7,People Solutions,"Miami, FL","Miami, FL",200-500,2021,Private,Education,Services,$150M,"Workplace Solutions, HR Hub"
Software Engineer,$133000 - $212000,Lead marketing campaigns and strategies,3.8,Market Leaders,"Chicago, IL","Chicago, IL",200-500,1993,Private,Technology,Services,$100M,"AdFocus, BrandBoost"
Financial Analyst,$96000 - $89000,Prepare and manage financial records and reports,4.9,Finance Corp,"Atlanta, GA","Atlanta, GA",200-500,1976,Public,Consulting,Financial,$100M,"Accounting Solutions, TaxPro"
Software Engineer,$135000 - $212000,Biology expert to teach students,4.4,bio,"Miami, FL","Miami, FL",200-500,1983,Private,Software,Services,$15M,"Chaithanya,narayana"
Marketing Manager,$147000 - $169000,Conduct financial analysis to support decision making,4.4,Finance Pros,"Boston, MA","Boston, MA","1,000-5,000",2002,Public,Software,Financial,$500M,"MoneyWorks, CapitalInsights"
Sales Manager,$115000 - $216000,Develop and maintain software systems,3.7,Code Masters,"Austin, TX","Austin, TX","500-1,000",1981,Public,Retail,Technology,$300M,"DevSoft, CodeTech"
Operations Manager,$156000 - $188000,Design user interfaces and improve user experiences,3.1,Creative Minds,"Los Angeles, CA","Los Angeles, CA","500-1,000",2004,Private,Software,Creative,$250M,"UserFlow, ExperienceHub"
Marketing Manager,$86000 - $230000,Manage human resources and employee relations,4.2,People Solutions,"Miami, FL","Miami, FL",200-500,2002,Private,Technology,Services,$150M,"Workplace Solutions, HR Hub"
Project Manager,$118000 - $84000,Lead and manage projects to successful completion,3.2,Project Leads,"Denver, CO","Denver, CO","500-1,000",2002,Private,Technology,Services,$300M,"TeamPro, ProjectSolutions"
Product Manager,$80000 - $141000,Conduct financial analysis to support decision making,4.3,Finance Pros,"Boston, MA","Boston, MA","1,000-5,000",2021,Public,Health,Financial,$500M,"MoneyWorks, CapitalInsights"
Data Scientist,$123000 - $133000,Conduct financial analysis to support decision making,4.3,Finance Pros,"Boston, MA","Boston, MA","1,000-5,000",2020,Public,Finance,Financial,$500M,"MoneyWorks, CapitalInsights"
Project Manager,$179000 - $155000,Conduct financial analysis to support decision making,3.9,Finance Pros,"Boston, MA","Boston, MA","1,000-5,000",1997,Public,Consulting,Financial,$500M,"MoneyWorks, CapitalInsights"
Operations Manager,$55000 - $132000,Prepare and manage financial records and reports,3.8,Finance Corp,"Atlanta, GA","Atlanta, GA",200-500,1986,Public,Education,Financial,$100M,"Accounting Solutions, TaxPro"
Financial Analyst,$76000 - $107000,Analyze business processes and provide solutions,4.5,Business Gurus,"Dallas, TX","Dallas, TX","1,000-5,000",1972,Public,Marketing,Professional Services,$400M,"ConsultMaster, BizExperts"
Data Scientist,$57000 - $106000,Analyze and interpret complex data using ML techniques,3.6,Tech Innovators,"New York, NY","San Francisco, CA","1,000-5,000",1990,Private,Software,IT,$500M,"DataWorld, Insight Global"
UX Designer,$123000 - $246000,Lead marketing campaigns and strategies,4.7,Market Leaders,"Chicago, IL","Chicago, IL",200-500,2012,Private,Software,Services,$100M,"AdFocus, BrandBoost"
Product Manager,$57000 - $190000,Lead and manage projects to successful completion,4.5,Project Leads,"Denver, CO","Denver, CO","500-1,000",1984,Private,Retail,Services,$300M,"TeamPro, ProjectSolutions"
Operations Manager,$180000 - $121000,Prepare and manage financial records and reports,3.3,Finance Corp,"Atlanta, GA","Atlanta, GA",200-500,1978,Public,Marketing,Financial,$100M,"Accounting Solutions, TaxPro"
Sales Manager,$80000 - $159000,Oversee product development from ideation to launch,4.5,Global Tech,"Seattle, WA","San Jose, CA","5,000-10,000",1986,Public,Marketing,Consumer Goods,$1B+,"InnovationHub, MarketPro"
Operations Manager,$156000 - $121000,Oversee product development from ideation to launch,3.4,Global Tech,"Seattle, WA","San Jose, CA","5,000-10,000",2008,Public,Retail,Consumer Goods,$1B+,"InnovationHub, MarketPro"
Data Scientist,$155000 - $109000,Biology expert to teach students,3.1,bio,"Miami, FL","Miami, FL",200-500,1982,Private,Health,Services,$15M,"Chaithanya,narayana"
Software Engineer,$82000 - $107000,Manage human resources and employee relations,4.4,People Solutions,"Miami, FL","Miami, FL",200-500,2009,Private,Technology,Services,$150M,"Workplace Solutions, HR Hub"
UX Designer,$80000 - $237000,Lead marketing campaigns and strategies,4.6,Market Leaders,"Chicago, IL","Chicago, IL",200-500,2007,Private,Education,Services,$100M,"AdFocus, BrandBoost"
Financial Analyst,$110000 - $173000,Biology expert to teach students,3.3,bio,"Miami, FL","Miami, FL",200-500,1988,Private,Consulting,Services,$15M,"Chaithanya,narayana"
Product Manager,$190000 - $96000,Prepare and manage financial records and reports,4.2,Finance Corp,"Atlanta, GA","Atlanta, GA",200-500,2005,Public,Software,Financial,$100M,"Accounting Solutions, TaxPro"
Product Manager,$119000 - $236000,Analyze business processes and provide solutions,4.1,Business Gurus,"Dallas, TX","Dallas, TX","1,000-5,000",2006,Public,Software,Professional Services,$400M,"ConsultMaster, BizExperts"
Product Manager,$109000 - $212000,Manage human resources and employee relations,3.2,People Solutions,"Miami, FL","Miami, FL",200-500,1992,Private,Technology,Services,$150M,"Workplace Solutions, HR Hub"
Project Manager,$59000 - $203000,Oversee product development from ideation to launch,4.4,Global Tech,"Seattle, WA","San Jose, CA","5,000-10,000",1989,Public,Software,Consumer Goods,$1B+,"InnovationHub, MarketPro"
Product Manager,$57000 - $228000,Oversee product development from ideation to launch,3.6,Global Tech,"Seattle, WA","San Jose, CA","5,000-10,000",2015,Public,Education,Consumer Goods,$1B+,"InnovationHub, MarketPro"
Financial Analyst,$76000 - $243000,Prepare and manage financial records and reports,4.5,Finance Corp,"Atlanta, GA","Atlanta, GA",200-500,1973,Public,Finance,Financial,$100M,"Accounting Solutions, TaxPro"
Product Manager,$83000 - $148000,Analyze business processes and provide solutions,4.7,Business Gurus,"Dallas, TX","Dallas, TX","1,000-5,000",1991,Public,Education,Professional Services,$400M,"ConsultMaster, BizExperts"
Operations Manager,$103000 - $189000,Manage human resources and employee relations,4.6,People Solutions,"Miami, FL","Miami, FL",200-500,2018,Private,Software,Services,$150M,"Workplace Solutions, HR Hub"
UX Designer,$144000 - $189000,Develop and maintain software systems,4.7,Code Masters,"Austin, TX","Austin, TX","500-1,000",2019,Public,Finance,Technology,$300M,"DevSoft, CodeTech"
Marketing Manager,$82000 - $198000,Design user interfaces and improve user experiences,4.8,Creative Minds,"Los Angeles, CA","Los Angeles, CA","500-1,000",1991,Private,Technology,Creative,$250M,"UserFlow, ExperienceHub"
UX Designer,$171000 - $244000,Prepare and manage financial records and reports,4.6,Finance Corp,"Atlanta, GA","Atlanta, GA",200-500,1997,Public,Health,Financial,$100M,"Accounting Solutions, TaxPro"
Marketing Manager,$55000 - $236000,Analyze business processes and provide solutions,3.9,Business Gurus,"Dallas, TX","Dallas, TX","1,000-5,000",1976,Public,Technology,Professional Services,$400M,"ConsultMaster, BizExperts"
Data Scientist,$164000 - $132000,Lead marketing campaigns and strategies,3.5,Market Leaders,"Chicago, IL","Chicago, IL",200-500,1986,Private,Software,Services,$100M,"AdFocus, BrandBoost"
UX Designer,$51000 - $131000,Lead and manage projects to successful completion,3.7,Project Leads,"Denver, CO","Denver, CO","500-1,000",1980,Private,Software,Services,$300M,"TeamPro, ProjectSolutions"
Software Engineer,$113000 - $213000,Lead marketing campaigns and strategies,3.2,Market Leaders,"Chicago, IL","Chicago, IL",200-500,2004,Private,Marketing,Services,$100M,"AdFocus, BrandBoost"
Product Manager,$168000 - $169000,Manage human resources and employee relations,4.6,People Solutions,"Miami, FL","Miami, FL",200-500,1998,Private,Software,Services,$150M,"Workplace Solutions, HR Hub"
Software Engineer,$127000 - $177000,Lead and manage projects to successful completion,3.6,Project Leads,"Denver, CO","Denver, CO","500-1,000",1983,Private,Marketing,Services,$300M,"TeamPro, ProjectSolutions"
Data Analyst,$172000 - $162000,Lead marketing campaigns and strategies,3.5,Market Leaders,"Chicago, IL","Chicago, IL",200-500,1971,Private,Consulting,Services,$100M,"AdFocus, BrandBoost"
Software Engineer,$159000 - $208000,Manage human resources and employee relations,4.8,People Solutions,"Miami, FL","Miami, FL",200-500,1972,Private,Technology,Services,$150M,"Workplace Solutions, HR Hub"
Financial Analyst,$53000 - $212000,Design user interfaces and improve user experiences,4.7,Creative Minds,"Los Angeles, CA","Los Angeles, CA","500-1,000",1990,Private,Software,Creative,$250M,"UserFlow, ExperienceHub"
Operations Manager,$153000 - $180000,Develop and maintain software systems,4.0,Code Masters,"Austin, TX","Austin, TX","500-1,000",2015,Public,Health,Technology,$300M,"DevSoft, CodeTech"
Product Manager,$93000 - $175000,Oversee product development from ideation to launch,4.3,Global Tech,"Seattle, WA","San Jose, CA","5,000-10,000",1974,Public,Software,Consumer Goods,$1B+,"InnovationHub, MarketPro"
Financial Analyst,$175000 - $171000,Conduct financial analysis to support decision making,3.4,Finance Pros,"Boston, MA","Boston, MA","1,000-5,000",1971,Public,Health,Financial,$500M,"MoneyWorks, CapitalInsights"
Product Manager,$185000 - $244000,Lead and manage projects to successful completion,3.1,Project Leads,"Denver, CO","Denver, CO","500-1,000",1998,Private,Consulting,Services,$300M,"TeamPro, ProjectSolutions"
Financial Analyst,$137000 - $150000,Lead and manage projects to successful completion,4.1,Project Leads,"Denver, CO","Denver, CO","500-1,000",2010,Private,Consulting,Services,$300M,"TeamPro, ProjectSolutions"
Financial Analyst,$135000 - $161000,Manage human resources and employee relations,3.1,People Solutions,"Miami, FL","Miami, FL",200-500,1996,Private,Retail,Services,$150M,"Workplace Solutions, HR Hub"
Marketing Manager,$129000 - $223000,Develop and maintain software systems,3.5,Code Masters,"Austin, TX","Austin, TX","500-1,000",2008,Public,Consulting,Technology,$300M,"DevSoft, CodeTech"
UX Designer,$74000 - $89000,Lead and manage projects to successful completion,3.4,Project Leads,"Denver, CO","Denver, CO","500-1,000",1985,Private,Finance,Services,$300M,"TeamPro, ProjectSolutions"
Sales Manager,$157000 - $153000,Oversee product development from ideation to launch,4.8,Global Tech,"Seattle, WA","San Jose, CA","5,000-10,000",1989,Public,Technology,Consumer Goods,$1B+,"InnovationHub, MarketPro"
Product Manager,$101000 - $174000,Develop and maintain software systems,4.8,Code Masters,"Austin, TX","Austin, TX","500-1,000",2004,Public,Technology,Technology,$300M,"DevSoft, CodeTech"
UX Designer,$88000 - $95000,Analyze and interpret complex data using ML techniques,4.7,Tech Innovators,"New York, NY","San Francisco, CA","1,000-5,000",2012,Private,Consulting,IT,$500M,"DataWorld, Insight Global"
Operations Manager,$108000 - $229000,Manage human resources and employee relations,3.2,People Solutions,"Miami, FL","Miami, FL",200-500,1986,Private,Software,Services,$150M,"Workplace Solutions, HR Hub"
Financial Analyst,$134000 - $121000,Lead marketing campaigns and strategies,4.6,Market Leaders,"Chicago, IL","Chicago, IL",200-500,1977,Private,Retail,Services,$100M,"AdFocus, BrandBoost"
Software Engineer,$74000 - $245000,Biology expert to teach students,4.2,bio,"Miami, FL","Miami, FL",200-500,1990,Private,Retail,Services,$15M,"Chaithanya,narayana"
Software Engineer,$94000 - $123000,Lead marketing campaigns and strategies,3.9,Market Leaders,"Chicago, IL","Chicago, IL",200-500,1993,Private,Marketing,Services,$100M,"AdFocus, BrandBoost"
Marketing Manager,$68000 - $232000,Design user interfaces and improve user experiences,4.3,Creative Minds,"Los Angeles, CA","Los Angeles, CA","500-1,000",1998,Private,Education,Creative,$250M,"UserFlow, ExperienceHub"
Project Manager,$179000 - $152000,Lead and manage projects to successful completion,4.4,Project Leads,"Denver, CO","Denver, CO","500-1,000",1993,Private,Consulting,Services,$300M,"TeamPro, ProjectSolutions"
Sales Manager,$91000 - $246000,Lead marketing campaigns and strategies,4.6,Market Leaders,"Chicago, IL","Chicago, IL",200-500,1982,Private,Education,Services,$100M,"AdFocus, BrandBoost"
